Name,Lead,Supporting,Notes
Mark Ruffalo,,"The Kids Are All Right (2010), Foxcatcher (2014), Spotlight (2015)",
Mark Rylance,,Bridge of Spies (2015),
Mark Wahlberg,,The Departed (2006),
Marlee Matlin,Children of a Lesser God (1986),,
Marlon Brando,"A Streetcar Named Desire (1951), Viva Zapata! (1952), Julius Caesar (1953), On the Waterfront (1954), Sayonara (1957), The Godfather (1972), Last Tango in Paris (1973)",A Dry White Season (1989),
Martin Landau,,"Tucker: The Man and His Dream (1988), Crimes and Misdemeanors (1989), Ed Wood (1994)",
Mary Elizabeth Mastrantonio,,The Color of Money (1986),
Mary J. Blige,,Mudbound (2017),
Mary McDonnell,Passion Fish (1992),Dances with Wolves (1990),
Massimo Troisi,Il Postino: The Postman (1995),,
Matt Damon,"Good Will Hunting (1997), The Martian (2015)",Invictus (2009),
Matt Dillon,,Crash (2005),
Matthew McConaughey,Dallas Buyers Club (2013),,
Max von Sydow,Pelle the Conqueror (1988),Extremely Loud & Incredibly Close (2011),
Melanie Griffith,Working Girl (1988),,
Melissa Leo,Frozen River (2008),The Fighter (2010),
Melissa McCarthy,Can You Ever Forgive Me? (2018),Bridesmaids (2011),
Mercedes Ruehl,,The Fisher King (1991),
Meryl Streep,"The French Lieutenant's Woman (1981), Sophie's Choice (1982), Silkwood (1983), Out of Africa (1985), Ironweed (1987), A Cry in the Dark (1988), Postcards from the Edge (1990), The Bridges of Madison County (1995), One True Thing (1998), Music of the Heart (1999), The Devil Wears Prada (2006), Doubt (2008), Julie & Julia (2009), The Iron Lady (2011), August: Osage County (2013), Florence Foster Jenkins (2016), The Post (2017)","The Deer Hunter (1978), Kramer vs. Kramer (1979), Adaptation (2002), Into the Woods (2014)",
Michael Caine,"Alfie (1966), Sleuth (1972), Educating Rita (1983), The Quiet American (2002)","Hannah and Her Sisters (1986), The Cider House Rules (1999)",
Michael Clarke Duncan,,The Green Mile (1999),
Michael Douglas,Wall Street (1987),,
Michael Fassbender,Steve Jobs (2015),12 Years a Slave (2013),
Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance) (2014),,
Michael Lerner,,Barton Fink (1991),
Michael Shannon,,"Revolutionary Road (2008), Nocturnal Animals (2016)",
Michelle Pfeiffer,"The Fabulous Baker Boys (1989), Love Field (1992)",Dangerous Liaisons (1988),
Michelle Williams,"Blue Valentine (2010), My Week with Marilyn (2011)","Brokeback Mountain (2005), Manchester by the Sea (2016)",
Mickey Rourke,The Wrestler (2008),,
Minnie Driver,,Good Will Hunting (1997),
Mira Sorvino,,Mighty Aphrodite (1995),
Miranda Richardson,Tom & Viv (1994),Damage (1992),
Mo'Nique,,Precious: Based on the Novel 'Push' by Sapphire (2009),
Morgan Freeman,"Driving Miss Daisy (1989), The Shawshank Redemption (1994), Invictus (2009)","Street Smart (1987), Million Dollar Baby (2004)",
Naomi Watts,"21 Grams (2003), The Impossible (2012)",,
Naomie Harris,,Moonlight (2016),
Natalie Portman,"Black Swan (2010), Jackie (2016)",Closer (2004),
Nick Nolte,"The Prince of Tides (1991), Affliction (1998)",Warrior (2011),
Nicolas Cage,"Leaving Las Vegas (1995), Adaptation (2002)",,
Nicole Kidman,"Moulin Rouge! (2001), The Hours (2002), Rabbit Hole (2010), Being the Ricardos (2021)",Lion (2016),
Nigel Hawthorne,The Madness of King George (1994),,
Norma Aleandro,,Gaby: A True Story (1987),
Octavia Spencer,,"The Help (2011), Hidden Figures (2016), The Shape of Water (2017)",
Olivia Colman,"The Favourite (2018), The Lost Daughter (2021)",The Father (2021),
Olympia Dukakis,,Moonstruck (1987),
Oprah Winfrey,,The Color Purple (1985),
Orson Welles,Citizen Kane (1941),,
Patricia Arquette,,Boyhood (2014),
Patricia Clarkson,,Pieces of April (2003),
Paul Giamatti,,Cinderella Man (2005),
Paul Newman,"Cat on a Hot Tin Roof (1958), The Hustler (1961), Hud (1963), Cool Hand Luke (1967), Absence of Malice (1981), The Verdict (1982), The Color of Money (1986), Nobody's Fool (1994)",Road to Perdition (2002),
Paul Raci,,Sound of Metal (2020),
Paul Scofield,A Man for All Seasons (1966),Quiz Show (1994),
Pauline Collins,Shirley Valentine (1989),,
Penélope Cruz,"Volver (2006), Parallel Mothers (2021)","Vicky Cristina Barcelona (2008), Nine (2009)",
Pete Postlethwaite,,In the Name of the Father (1993),
Peter Fonda,Ulee's Gold (1997),,
Peter O'Toole,"Lawrence of Arabia (1962), Becket (1964), The Lion In Winter (1968), Goodbye, Mr. Chips (1969), The Ruling Class (1972), The Stunt Man (1980), My Favorite Year (1982), Venus (2006)",,
Philip Seymour Hoffman,Capote (2005),"Charlie Wilson's War (2007), Doubt (2008), The Master (2012)",
Queen Latifah,,Chicago (2002),
Quvenzhané Wallis,Beasts of the Southern Wild (2012),,
Rachel Griffiths,,Hilary and Jackie (1998),
Rachel McAdams,,Spotlight (2015),
Rachel Weisz,,"The Constant Gardener (2005), The Favourite (2018)",
Ralph Fiennes,The English Patient (1996),Schindler’s List (1993),
Rami Malek,Bohemian Rhapsody (2018),,
Reese Witherspoon,"Walk the Line (2005), Wild (2014)",,
Regina King,,If Beale Street Could Talk (2018),
Renée Zellweger,"Bridget Jones's Diary (2001), Chicago (2002), Judy (2019)",Cold Mountain (2003),
Richard Dreyfuss,"The Goodbye Girl (1977), Mr. Holland's Opus (1995)",,
Richard E. Grant,,Can You Ever Forgive Me? (2018),
Richard Farnsworth,The Straight Story (1999),Comes a Horseman (1978),
Richard Harris,"This Sporting Life (1963), The Field (1990)",,
Richard Jenkins,The Visitor (2008),The Shape of Water (2017),
Rinko Kikuchi,,Babel (2006),
River Phoenix,,Running on Empty (1988),
Riz Ahmed,Sound of Metal (2020),,
Robert De Niro,"Taxi Driver (1976), The Deer Hunter (1978), Raging Bull (1980), Awakenings (1990), Cape Fear (1991)","The Godfather Part II (1974), Silver Linings Playbook (2012)",
Robert Downey Jr.,Chaplin (1992),Tropic Thunder (2008),
Robert Duvall,"The Great Santini (1980), Tender Mercies (1983), The Apostle (1997)","The Godfather (1972), Apocalypse Now (1979), A Civil Action (1998), The Judge (2014)",
Robert Forster,,Jackie Brown (1997),
Robert Redford,The Sting (1973),,
Roberto Benigni,Life Is Beautiful (1998),,
Robin Williams,"Good Morning, Vietnam (1987), Dead Poets Society (1989), The Fisher King (1991)",Good Will Hunting (1997),
Rooney Mara,The Girl with the Dragon Tattoo (2011),Carol (2015),
Rosamund Pike,Gone Girl (2014),,
Rosemary Harris,,Tom & Viv (1994),
Rosie Perez,,Fearless (1993),
Ruby Dee,,American Gangster (2007),
Russell Crowe,"The Insider (1999), Gladiator (2000), A Beautiful Mind (2001)",,
Ruth Negga,Loving (2016),,
Ryan Gosling,"Half Nelson (2006), La La Land (2016)",,
Sacha Baron Cohen,,The Trial of the Chicago 7 (2020),
Sally Field,"Norma Rae (1979), Places in the Heart (1984)",Lincoln (2012),
